id,fy_year,Taxable_Income_percentile,avg_tax_rate,avg_tax_bill,total_tax_bn,min_income,max_income,avg_income,facet,Financial year ending,label
Current,2017-18,67,0.21,13214.7434193683,1.854,62367,63696,63028.183908046,2017-18,2018,
Current,2017-18,68,0.213,13704.4609263493,1.921,63696,65063,64390.1275964392,2017-18,2018,
Current,2017-18,69,0.216,14198.770439628,1.991,65064,66502,65771.0723293769,2017-18,2018,
Current,2017-18,70,0.219,14706.8000150042,2.063,66502,67895,67189.5695216908,2017-18,2018,
Current,2017-18,71,0.222,15210.2569732706,2.133,67895,69426,68647.8534866469,2017-18,2018,
Current,2017-18,72,0.224,15745.4240094561,2.208,69427,70970,70203.7222840193,2017-18,2018,
Current,2017-18,73,0.227,16279.5132095551,2.283,70970,72532,71746.9098664689,2017-18,2018,
Current,2017-18,74,0.23,16841.4155639978,2.361,72533,74216,73377.4710682493,2017-18,2018,
Current,2017-18,75,0.232,17413.3462319072,2.442,74218,75881,75035.7931034483,2017-18,2018,
Current,2017-18,76,0.235,18009.8420930264,2.525,75881,77615,76748.28115727,2017-18,2018,
Current,2017-18,77,0.237,18608.5761685527,2.61,77615,79413,78497.5988134965,2017-18,2018,
Current,2017-18,78,0.24,19254.672027376,2.7,79413,81371,80371.2106824926,2017-18,2018,
Current,2017-18,79,0.242,19947.4231848902,2.797,81372,83390,82384.2192136499,2017-18,2018,
